state,x,y
Andaman and Nicobar Island,192,-186
Andhra Pradesh,-72,-134
Arunachal Pradesh,215,146
Assam,190,101
Bihar,63,80
Chandigarh,-106,187
Chhattisgarh,-11,-6
Dadra and Nagar Haveli and Daman and Diu,-193,-2
Delhi,-101,140
Goa,-161,-124
Gujarat,-201,30
Haryana,-116,146
Himachal Pradesh,-94,207
Jammu and Kashmir,-141,250
Jharkhand,47,37
Karnataka,-133,-142
Kerala,-119,-222
Ladakh,"-96.0, 276.0",
Lakshadweep,-189,-235
Madhya Pradesh,-85,19
Maharashtra,-133,-38
Manipur,214,74
Meghalaya,162,83
Mizoram,197,37
Nagaland,221,99
Odisha,38,-21
Puducherry,-43,-200
Punjab,-127,185
Rajasthan,-169,102
Sikkim,107,124
Tamil Nadu,-80,-221
Telangana,-62,-81
Tripura,171,47
Uttar Pradesh,-33,103
Uttarakhand,-60,171
West Bengal,104,28
